,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
0,The Starling,2021,PG-13,"Comedy, Drama",Theodore Melfi,"After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...","English, Spanish",United States,2 wins,"Internet Movie Database:6.4/10, Rotten Tomatoes:20%, Metacritic:31/100",6.4,"14,445"
1,Angamaly Diaries,2017,Not Rated,"Action, Comedy, Thriller",Lijo Jose Pellissery,"Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale on which the film is based.",Malayalam,India,2 wins & 6 nominations,Internet Movie Database:7.9/10,7.9,"6,431"
2,Clear and Present Danger,1994,PG-13,"Action, Crime, Drama",Phillip Noyce,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"English, Spanish",United States,Nominated for 2 Oscars. 3 wins & 11 nominations total,"Internet Movie Database:6.9/10, Rotten Tomatoes:81%, Metacritic:74/100",6.9,"103,887"
3,Krishna Cottage,2004,Not Rated,"Horror, Mystery, Romance",Santram Varma,A group of collegians are forced to take shelter in a mysterious Krishna Cottage for the night. Little do they know that the cottage is haunted by a spirit.,Hindi,India,N/A,Internet Movie Database:5.2/10,5.2,"1,314"
4,The Dirty Picture,2011,Not Rated,"Biography, Comedy, Drama",Milan Luthria,"The love story between an actress and a director, inspired by the life of the late south Indian actress Silk Smitha.","Hindi, Tamil, English",India,34 wins & 31 nominations,"Internet Movie Database:6.6/10, Rotten Tomatoes:100%",6.6,"10,111"
5,Seabiscuit,2003,PG-13,"Drama, History, Sport",Gary Ross,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,English,United States,Nominated for 7 Oscars. 6 wins & 44 nominations total,"Internet Movie Database:7.3/10, Rotten Tomatoes:78%, Metacritic:72/100",7.3,"75,265"
6,Chicago Med,2015–,TV-14,Drama,N/A,"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.",English,United States,5 wins & 4 nominations,Internet Movie Database:7.6/10,7.6,"27,551"
7,The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,"Adventure, Drama, Fantasy",Bill Condon,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.","English, Portuguese",United States,11 wins & 22 nominations,"Internet Movie Database:4.9/10, Rotten Tomatoes:25%, Metacritic:45/100",4.9,"247,015"
8,The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,"Adventure, Drama, Fantasy",Bill Condon,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",English,United States,Nominated for 1 BAFTA Award21 wins & 15 nominations total,"Internet Movie Database:5.5/10, Rotten Tomatoes:49%, Metacritic:52/100",5.5,"255,385"
9,The Twilight Saga: Eclipse,2010,PG-13,"Action, Adventure, Drama",David Slade,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",English,United States,22 wins & 35 nominations,"Internet Movie Database:5.1/10, Rotten Tomatoes:47%, Metacritic:58/100",5.1,"253,194"
10,The Twilight Saga: New Moon,2009,PG-13,"Adventure, Drama, Fantasy",Chris Weitz,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.","English, Italian",United States,20 wins & 24 nominations,"Internet Movie Database:4.8/10, Rotten Tomatoes:29%, Metacritic:44/100",4.8,"291,605"
11,Twilight,2008,PG-13,"Drama, Fantasy, Romance",Catherine Hardwicke,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",English,United States,33 wins & 16 nominations,"Internet Movie Database:5.3/10, Rotten Tomatoes:49%, Metacritic:56/100",5.3,"472,994"
12,Rehmataan,2012,N/A,"Drama, Family, Romance","Rajveer Singh Maan, Harpreet Matharoo",,Punjabi,India,N/A,,N/A,N/A
13,Winchester,2018,PG-13,"Drama, Fantasy, Horror","Michael Spierig, Peter Spierig","Ensconced in her sprawling San Jose, California mansion, eccentric firearm heiress Sarah Winchester (Dame Helen Mirren) believes she is haunted by the souls of people killed by the Winchester repeating rifle.",English,"Australia, United States",6 wins & 10 nominations,"Internet Movie Database:5.4/10, Rotten Tomatoes:13%, Metacritic:28/100",5.4,"35,495"
14,Riverdale,2017–2023,TV-14,"Crime, Drama, Mystery",N/A,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",English,United States,37 wins & 74 nominations,Internet Movie Database:6.6/10,6.6,"149,720"
15,678,2009–2015,N/A,News,N/A,N/A,Spanish,Argentina,N/A,,N/A,29
16,Shadow and Bone,2021–,TV-14,"Action, Adventure, Drama",N/A,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,English,United States,1 win & 4 nominations,Internet Movie Database:7.6/10,7.6,"106,161"
17,The Zookeeper's Wife,2017,PG-13,"Biography, Drama, History",Niki Caro,"Keepers of the Warsaw Zoo, Antonina and Jan Zabinski, must save hundreds of people and animals during the Nazi invasion in WWII Poland.","Hebrew, Polish, English, German","Czech Republic, United Kingdom, United States",2 wins & 3 nominations,"Internet Movie Database:7.0/10, Rotten Tomatoes:64%, Metacritic:57/100",7.0,"44,990"
18,Moxie,2021,PG-13,"Comedy, Drama, Music",Amy Poehler,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",English,United States,N/A,"Internet Movie Database:6.7/10, Rotten Tomatoes:70%, Metacritic:54/100",6.7,"27,393"
19,Dances with Wolves,1990,PG-13,"Adventure, Drama, Western",Kevin Costner,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","English, Sioux, Pawnee","United States, United Kingdom",Won 7 Oscars. 54 wins & 38 nominations total,"Internet Movie Database:8.0/10, Rotten Tomatoes:87%, Metacritic:72/100",8.0,"278,615"
20,Operation Finale,2018,PG-13,"Biography, Drama, History",Chris Weitz,A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.,"English, Spanish, French, German, Hebrew, Arabic",United States,2 nominations,"Internet Movie Database:6.6/10, Rotten Tomatoes:61%, Metacritic:58/100",6.6,"45,730"
